Mr,Artus,Marleau,0476 17 65 34,171, Rue Bouhouille,5364,Schaltin,3,7,1986,Haling,aSho7dochee,ArtusMarleau@jourrapide.com,50.274935, 5.103668
Mr,Sidney,Vertefeuille,0495 43 24 56,346, Stationsstraat,8691,Izenberge,17,12,1993,Plevelit,keiceesieM6,SidneyVertefeuille@jourrapide.com,51.00788, 2.693124
Mr,Dexter,Bourgeois,0482 34 11 55,226, Route de Botrange,8587,Spiere,17,1,1950,Sellonbeebot,oohen4Too,DexterBourgeois@teleworm.us,50.760065, 3.369494
Mr,Garland,Perrault,0497 70 85 22,305, De Veurs Comberg,2550,Waarloos,30,6,1985,Couldic,hi4GekahMai,GarlandPerrault@armyspy.com,51.095896, 4.498666
Mr,Beaufort,Bois,0485 86 43 65,183, Lodorp,5300,Maizeret,24,11,1998,Andayseen,miej3Biexae,BeaufortBois@teleworm.us,50.600023, 5.099527
Mr,Russell,Deblois,0492 79 91 28,226, Courtensdreef,8501,Heule,2,9,1988,Roich1988,ooNeedoh7,RussellDeblois@rhyta.com,50.757094, 3.246946
Mr,Langley,Laderoute,0473 97 86 30,476, Rue de la Sarthe,3870,Horpmaal,28,8,2000,Adic2000,kaeB2so5igh,LangleyLaderoute@jourrapide.com,50.760454, 5.212167
Mr,Romain,Laframboise,0495 67 14 75,102, Ramselsesteenweg,2870,Liezele,24,8,1975,Wombears,diegh5Ien9L,RomainLaframboise@jourrapide.com,51.033092, 4.235946
Mr,Langley,Sorel,0470 17 68 50,4, Alsembergsesteenweg,7020,Nimy,13,8,1950,Obler1950,ooGootedoe7,LangleySorel@rhyta.com,50.548939, 4.032204
Mr,Senior,Grenier,0493 42 97 37,425, Alsembergsesteenweg,1320,Nodebais,15,12,1979,Coughtly79,ji2aeThoechee,SeniorGrenier@rhyta.com,50.82529, 4.851855
Mr,Dominique,Compagnon,0498 54 71 30,98, Dijkstraat,7850,Edingen,6,7,1997,Stratiout97,Koh6ahghoa,DominiqueCompagnon@jourrapide.com,50.712499, 4.090771
